Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
"3 POKOJE || 5 MINUT DO ŚRÓDMIEŚCIA || DO WEJŚCIA"|809 000 zł|DOBRY|50,16 m²|||5|||1|||||Wtórny||WŁASNOŚĆ|Na wyłączność|KAMIENICA||1919||C.O. GAZOWE|26.03.2024|26.03.2024|morizon-9175/8976/OMS|38|0||||||300 cm||||||||
Mieszkanie 6-pok we Wrzeszczu. ROI 7,5%|890 000 zł|Bardzo dobry|70,10 m²||2/3|3|1|Osobna|2||Tak||Nie|Wtórny||Własność||Kamienica|Cegła|1920|Dobry|Gazowe|02.04.2024|02.04.2024|morizon-699|27|0||||||||||||||
TBS klimatyczne 2 pokoje|169 000 zł||32 m²||4/4|4||Brak|1|||Nie|Nie|Wtórny||(Nieznany)|Na wyłączność|||2004|Bardzo dobry|C.o. miejskie|03.04.2024|10.04.2024|morizon-JI03477|407|0||||||||||||||
Basen, jacuzzi, Śródmieście|923 500 zł||46,19 m²||3/7|7||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec||2018|||10.01.2024|10.01.2024|morizon-Waterlane 2|224|0|||1|||||||||||
Basen, siłownia, centrum Gdańska|926 000 zł||46,31 m²||3/7|7||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec||2018||Co Miejskie|10.01.2024|10.01.2024|morizon-Waterlane 1|124|0|||1|||||||||||
Apartament 2 pokoje 48 m2 Gdańsk Brzeźno|990 000 zł||48,35 m²||2/4|4||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|2019||Co Miejskie|25.03.2024|25.03.2024|morizon-TY483242|56|0|||1|||||||||||
Dla rodziny/2 łazienki/2 balkony/Garaż/Komórka|990 000 zł|WYSOKI STANDARD|73,39 m²||2/2|2||ANEKS KUCHENNY|2|||Tak||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK|SILIKAT|2019||C.O. Z SIECI MIEJSKIEJ|11.03.2024|11.03.2024|morizon-8978/8976/OMS|60|0||||||250 cm||||||||
Śródmieście Gdańska na wyciągnięcie ręki|1 049 000 zł||46,18 m²||2/4|4||||||Tak||Wtórny||||Blok Mieszkalny|Konstrukcja żelbetowa|||Co Miejskie|28.03.2024|28.03.2024|morizon-WE201679|36|0||||||||||||||
Brzeźno apartament 150mkw ogród blisko plaży|1 129 000 zł||52 m²|||5|||||||Tak|Wtórny|2024-05-01|||Apartamentowiec||2019||Co Miejskie|09.04.2024|09.04.2024|morizon-193866|17|0|||2|||||||||||
Mieszkanie z ogrodem i dostępem do sali Fitness|1 175 000 zł||56 m²|||3|||||||Tak|Wtórny||||Blok Mieszkalny||2011||Co Miejskie|20.02.2024|20.02.2024|morizon-TY187418|107|0||||||||||||||
Wysokie 3 pok. w kamienicy, super design, Wrzeszcz|1 199 000 zł||80,80 m²||2/2|2|1|||||||Wtórny|2024-01-11||Na wyłączność|Kamienica|Cegła|1911||Gazowe|11.01.2024|11.01.2024|morizon-MG699523|415|0|||2|||||||||||
parter, 4 pokoje z ogrodem|1 200 000 zł||83,40 m²|||2||Osobna|1|||Tak|Nie|Wtórny||Własność|Na wyłączność|||||C.o. miejskie|10.04.2024|10.04.2024|morizon-FF03307|1|0||||||||||||||
Opis nieruchomości|1 263 760 zł||72,43 m²||2/3|3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH330477|16|0||||||||||||||
Opis nieruchomości|1 267 353 zł||64,30 m²|||3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH412426|12|0||||||||||||||
Kameralna Inwestycja - Zamieszkaj lub zainwestuj|1 271 668 zł||68,04 m²||2/5|5||||||Tak||Pierwotny||||Apartamentowiec||2024|||01.04.2024|01.04.2024|morizon-EC367807|20|0|||3|||||||||||
"4 pokoje | 86 m2 I Magellana | Do wprowadzenia"|1 279 000 zł||85,94 m²||5/7|7||||||Tak||Wtórny||||Blok Mieszkalny||2013||Co Miejskie|10.04.2024|10.04.2024|morizon-00247434|1|0|||3|||||||||||
Opis nieruchomości|1 324 311 zł||67,56 m²|||3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH974351|16|0||||||||||||||
Komfortowy apartament tuż obok Parku|1 385 024 zł||57,10 m²||1/3|3||||||Tak||Pierwotny||||Apartamentowiec||2022||Co Miejskie|17.03.2024|17.03.2024|morizon-EC593250|59|0|||1|||||||||||
Opis nieruchomości|1 385 770 zł||67,89 m²|||3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH630324|11|0||||||||||||||
Wyjątkowe M3 ze słonecznym tarasem -os. Front Park|1 396 000 zł||65 m²||2/3|3|1|||||Tak||Wtórny|||Na wyłączność|Apartamentowiec|Porotherm|2018||Co Miejskie|04.04.2024|04.04.2024|morizon-444675|20|0|||2|||||||||||
Komfortowy apartament z ogródkiem|1 426 216 zł||66 m²|||3||||||Tak||Pierwotny||||Apartamentowiec||2022||Co Miejskie|17.03.2024|17.03.2024|morizon-EC658692|79|0|||1|||||||||||
3 pok 71m2 loggia 6m2 WIDOK NA MORZE i LAS|1 450 000 zł||77,30 m²||10/17|17||ODDZIELNA||||Tak||Wtórny||WŁASNOŚĆ||APARTAMENTOWIEC|CEGŁA|2016||C.O. Z SIECI MIEJSKIEJ|09.04.2024|09.04.2024|morizon-16727/5571/OMS|12|0||||||||||||||
Opis nieruchomości|1 486 263 zł||72,43 m²||2/3|3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH614013|15|0||||||||||||||
Oliwa, mieszkanie 7-pok, gotowa inwestycja|1 500 000 zł|Dobry|101 m²||1/2|2|1|Osobna|2||Tak||Nie|Wtórny||Własność||Kamienica|Cegła|1910|Dobry|Gazowe|08.04.2024|08.04.2024|morizon-700|12|0||||||300 cm||||||||
Komfortowy apartament z widokiem na staw|1 523 183 zł||64,70 m²||1/3|3|1|||||Tak||Wtórny||||Apartamentowiec||2022||Co Miejskie|17.03.2024|17.03.2024|morizon-EC206775|50|0|||1|||||||||||
Komfortowy apartament. Prestiżowy adres|1 523 838 zł||63,10 m²||2/3|3||||||Tak||Pierwotny||||Apartamentowiec||2022||Co Miejskie|17.03.2024|17.03.2024|morizon-EC552348|66|0|||1|||||||||||
Opis nieruchomości|1 524 533 zł||72,39 m²||3/3|3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH478451|15|0||||||||||||||
Komfortowy apartament- zachwycająca przestrzeń|2 091 647 zł||77,10 m²||3/3|3||||||Tak||Pierwotny||||Apartamentowiec||2022||Co Miejskie|17.03.2024|17.03.2024|morizon-EC442109|53|0|||2|||||||||||
Przepiękny Apartament- Widok na rzekę|2 097 827 zł||97,46 m²||5/5|5||||||Tak||Pierwotny||||Apartamentowiec||2024|||01.04.2024|01.04.2024|morizon-EC198208|39|0|||3|||||||||||
Wyjątkowy apartament LOFT GARNIZON 5 pokoi|2 190 000 zł||138 m²|97 m²|5/6|6||||||||Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|2011||Co Miejskie|09.04.2024|09.04.2024|morizon-TY937810|18|0|||4|||||||||||
Jedyny taki apartament na Polskim Haku|2 399 000 zł||76,88 m²||4/5|5||||||Tak||Wtórny|2024-03-16||Na wyłączność|Apartamentowiec||2023||Co Miejskie|08.04.2024|08.04.2024|morizon-HEX772986|19|0|||3|||||||||||
Czteropokojowy apartament, Invest Komfort|2 760 000 zł||78,62 m²||2/3|3|1|||||Tak|Tak|Wtórny|2024-11-01||Na wyłączność|Apartamentowiec|Inne|2019||Co Własne|09.04.2024|09.04.2024|morizon-WH540312|15|0||||||||||||||
Doki Living - ostatnie piętro, widok na port|2 930 000 zł||87 m²||7/7|7|1|||||Tak||Wtórny||||Apartamentowiec||2023||Co Miejskie|01.03.2024|01.03.2024|morizon-150197|102|0||||||||||||||
Najpiękniejszy apartament w Oliwie|3 290 263 zł||135,20 m²||3/3|3||||||Tak||Wtórny||||Apartamentowiec||2022||Co Miejskie|17.03.2024|17.03.2024|morizon-EC832114|55|0|||4|||||||||||
26.19 m2 balkon 4.5m2 wsch. IIIQ24 widok na wodę|442 506 zł|DO WYKOŃCZENIA|30,69 m²||2/4|4||ANEKS KUCHENNY||||Tak||Pierwotny||WŁASNOŚĆ||APARTAMENTOWIEC|CEGŁA|2024||C.O. Z SIECI MIEJSKIEJ|06.04.2024|08.04.2024|morizon-16723/5571/OMS|38|0||||||||||||||
Komfortowo urządzone mieszkanie 1-pok|450 000 zł|Bardzo dobry|31 m²||2/4|4|1|Półotwarta|1||Tak|Tak|Nie|Wtórny||Własność|Na wyłączność|Blok|Pustak|2019|Bardzo dobry|Miejskie|09.04.2024|10.04.2024|morizon-701|16|0||||||||||||||
Mieszkanie po kapitalnym remoncie, blisko centrum|459 000 zł||37,29 m²|||4||||||Nie||Wtórny|||Na wyłączność|Blok Mieszkalny|Cegła|1970||Co Miejskie|26.03.2024|28.03.2024|morizon-DH961116|103|0|||1|||||||||||
Nowiutki apartament z loggią – dwa pokoje|529 000 zł|BARDZO WYSOKI STANDARD|40,83 m²||2/5|5||ANEKS KUCHENNY|1|||Tak||Wtórny|2024-04-07|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|PUSTAK|2023||C.O. Z SIECI MIEJSKIEJ|07.04.2024|07.04.2024|morizon-29661/3685/OMS|33|0||||||||||||||
Opis nieruchomości|1 570 868 zł||71,08 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.7|494|126|KAMIENNA 28|||||||||||||
Przestronne, jasne 3 pokoje mieszkanie|540 000 zł||50,95 m²||1/4|4||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny||2015||Co Miejskie|18.03.2024|19.03.2024|morizon-TY608051|163|0||||||||||||||
36.38 m2 balkon 4.5m2 wsch. IIIQ24 widok na wodę|597 000 zł|DO WYKOŃCZENIA|40,88 m²||4/4|4||ANEKS KUCHENNY||||Tak||Pierwotny||WŁASNOŚĆ||APARTAMENTOWIEC|CEGŁA|2024||C.O. Z SIECI MIEJSKIEJ|08.04.2024|08.04.2024|morizon-16724/5571/OMS|20|0||||||||||||||
Apartament w Inwestycji Nadmotławie|599 000 zł||27,74 m²|||3||||||Nie|Nie|Wtórny||||Apartamentowiec|Pustak|2020||Co Miejskie|03.04.2024|10.04.2024|morizon-PAN156689|53|0||||||||||||||
"PRZESTRONNE | BALKON | NOWE BUDOWNICTWO"|619 000 zł|WYSOKI STANDARD|48,87 m²||1/3|3||ANEKS KUCHENNY||||Tak||Wtórny||WŁASNOŚĆ|Na wyłączność|BLOK||2023||C.O. Z SIECI MIEJSKIEJ|10.04.2024|10.04.2024|morizon-9273/8976/OMS|1|0||||||||||||||
Mieszkanie na sprzedaż, Wrzeszcz, 40,19 m2, 2 pok|629 000 zł|WYSOKI STANDARD|40,19 m²||3/8|8||ANEKS KUCHENNY|1|||Tak||Wtórny|2024-03-18|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|MIESZANY|2010||C.O. Z SIECI MIEJSKIEJ|09.04.2024|09.04.2024|morizon-29691/3685/OMS|11|0||||||260 cm||||||||
Designerski loft z salonem kąpielowym z widokiem n|630 000 zł||54 m²||5/5|5|1|||||Tak||Wtórny||||Blok Mieszkalny|Silikat|2018||Co Miejskie|10.03.2024|17.03.2024|morizon-FN2013451190|236|0|||1|||||||||||
Gotowe nowe 3pok 61m2 z ogródkiem 17m2 zachód|699 000 zł|BARDZO WYSOKI STANDARD|61 m²|||4||ANEKS KUCHENNY||||Tak||Pierwotny||WŁASNOŚĆ||NISKI BLOK|CEGŁA|2023||C.O. Z SIECI MIEJSKIEJ|03.04.2024|08.04.2024|morizon-16716/5571/OMS|16|0||||||||||||||
Trzy pokoje, Gdańsk Wrzeszcz ul. Mickiewicza|720 000 zł||59,10 m²||2/3|3||||||Nie||Wtórny|2024-03-22||Na wyłączność|Kamienica|Cegła|1953||Co Miejskie|22.03.2024|25.03.2024|morizon-DH151312|195|0|||3|||||||||||
"Słoneczne 2 lub 3 pokoje | Skomunikowane | Balkon"|799 000 zł|DO WYKOŃCZENIA|66 m²||3/3|3||||||||Wtórny||WŁASNOŚĆ||NISKI BLOK||2006||C.O. Z SIECI MIEJSKIEJ|28.03.2024|02.04.2024|morizon-9159/8976/OMS|63|0||||||||||||||
MIESZKANIE W KAMIENICY Z BARDZO DUŻYM POTENCJAŁEM|850 000 zł||68,59 m²|78,21 m²||3|1|||||||Wtórny|||Na wyłączność|Kamienica|Cegła|1910||Gazowe|10.04.2024|09.04.2024|morizon-GH762245|7|0|||4|||||||||||
Opis nieruchomości|875 658 zł||42,45 m²|||3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH661701|15|0||||||||||||||
Nowoczesne 2-pokojowe mieszkanie w Gdańsku|895 000 zł|Bardzo dobry|41,10 m²|||||Aneks|||Tak|Tak||Wtórny||Własność|Na wyłączność|Apartamentowiec||||Miejskie|04.04.2024|05.04.2024|morizon-440|23|0|||1||||PCV|||||||
"Stylowy apartament w sercu Gdańska | Nadmotławie"|949 000 zł||47,19 m²||1/5|5||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec||2019||Co Miejskie|29.03.2024|05.04.2024|morizon-ON369412|53|0||||||||||||||
Brzeźno wysoki standard 500m od plaży|960 000 zł||47,35 m²||1/5|5||||||||Wtórny|2024-03-01||Na wyłączność|Blok Mieszkalny||2019||Co Miejskie|06.02.2024|05.02.2024|morizon-615939|177|0|||1|||||||||||
"Apartament z widokiem, inwestycja SOLVO| Przymorze"|989 000 zł||39,04 m²||12/12|12||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec||2018||Co Miejskie|18.03.2024|24.03.2024|morizon-ON634456|63|0||||||||||||||
Gdańsk Śródmieście mieszkanie 2 poziomy|998 000 zł||42,30 m²||4/4|4|2|||||Tak||Wtórny|2024-04-08|||Blok Mieszkalny|Cegła|1960||Co Miejskie|05.04.2024|08.04.2024|morizon-DH762031|17|0|||1|||||||||||
Twoje miejsce na Starym Mieście|998 000 zł||42,30 m²||3/4|4|2|||||Tak||Wtórny|2024-04-04|||Kamienica|Cegła|1960||Co Miejskie|04.04.2024|05.04.2024|morizon-TC770798|8|0|||1|||||||||||
2 pok. mieszkanie z parkingiem + widok na rzekę|1 020 000 zł||47 m²||4/6|6||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec||2016||Co Miejskie|29.03.2024|02.04.2024|morizon-DH283796|70|0|||1|||||||||||
Doskonałe dla rodziny! Świetna lokalizacja|1 090 000 zł|WYSOKI STANDARD|100,10 m²||3/3|3||||||Tak||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK||2001||C.O. Z SIECI MIEJSKIEJ|30.03.2024|03.04.2024|morizon-237/4070/OMS|76|0||||||||||||||
Mieszkanie inwestycyjne, 3 niezależne apartamenty na wynajem|1 250 000 zł||82 m²||3/4|4||Aneks|||Nie|||Wtórny|2024-03-19|Własność||Kamienica|||||19.03.2024|26.03.2024|morizon-gratka-33848953|191|0||||||||||||||
Luksusowy apartament z pięknym widokiem|1 349 000 zł||82,50 m²||17/17|17|1|||||Tak||Wtórny|2024-04-01||Na wyłączność|Wieżowiec||2020||Co Miejskie|03.04.2024|07.04.2024|morizon-ON458762|22|0|||2|||||||||||
Luksusowy apartament przy Parku Reagana|1 395 000 zł||43,83 m²||4/12|12||||||||Wtórny|2024-04-14|||Apartamentowiec||2022||Co Miejskie|09.04.2024|08.04.2024|morizon-285816|12|0|||1|||||||||||
Mieszkanie 4 pokojowe we Wrzeszczu|1 430 000 zł||92,55 m²||2/3|3||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Cegła|2012||Co Miejskie|08.03.2024|13.03.2024|morizon-TY517182|177|0||||||||||||||
Mieszkanie nad Morzem dla obcokrajowca|1 449 000 zł||73,90 m²||2/12|12||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|1993||Co Miejskie|02.04.2024|08.04.2024|morizon-PAN586258|51|0||||||||||||||
Mieszkanie Twoich marzeń z widokiem na morze|1 599 000 zł||100,80 m²|97,92 m²|6/17|17|1|||||Tak|Nie|Wtórny|||Na wyłączność|Wieżowiec|Konstrukcja mieszana|2021||Co Miejskie|29.03.2024|02.04.2024|morizon-ON755366|38|0|||3|||||||||||
Prestiżowy apartament w inwestycji Nadmotławie|2 150 000 zł||80,15 m²||2/3|3||||||Tak|Tak|Wtórny|||Na wyłączność|Apartamentowiec||2021||Co Miejskie|06.03.2024|11.03.2024|morizon-TY909665|72|0||||||||||||||
2 pokoje-gotowe do wprowadzenia-spokojna okolica|550 000 zł||44 m²||3/4|4||||||Tak||Wtórny||||Blok Mieszkalny||2016||Co Miejskie|10.04.2024|10.04.2024|morizon-CP990895|1|0|||1|||||||||||
Niski blok! 2-pokojowe na pierwszym piętrze|580 000 zł|Do remontu|44 m²||1/4|4|1|Osobna|1||Tak|Tak|Nie|Wtórny||Spółdzielcze-własnościowe|Na wyłączność|Blok|Cegła|1967|Bardzo dobry|Miejskie|02.04.2024|02.04.2024|morizon-698|115|0||||||||2,50 m²||||||
Mieszkanie z potencjałem w kameralnej Willi|599 000 zł||54,87 m²|||2||||||Tak|Tak|Wtórny||||Blok Mieszkalny||||Co Miejskie|29.03.2024|29.03.2024|morizon-WE611346|54|0||||||||||||||
Opis nieruchomości|644 880 zł||53,74 m²||1/3|3||||||Tak||Wtórny||||Blok Mieszkalny|YTong|2023||Co Miejskie|19.03.2024|27.03.2024|morizon-PH830850|44|0||||||||||||||
Mieszkanie na Gdańskim Chełmie 49,60m2|649 000 zł||49,60 m²||4/4|4||||||Tak||Wtórny|2024-03-27||Na wyłączność|Blok Mieszkalny|Wielka płyta|||Co Miejskie|27.03.2024|31.03.2024|morizon-LDK260067|65|0|||2|||||||||||
Opis nieruchomości|691 968 zł||65,28 m²||1/5|5||||||Tak||Wtórny||||Blok Mieszkalny|YTong|2023||Co Miejskie|19.03.2024|27.03.2024|morizon-PH824707|40|0||||||||||||||
Opis nieruchomości|724 510 zł||68,35 m²||3/5|5||||||Tak||Wtórny||||Blok Mieszkalny|YTong|2023||Co Miejskie|19.03.2024|27.03.2024|morizon-PH636063|36|0||||||||||||||
Opis nieruchomości|731 994 zł||64,21 m²||3/3|3||||||Tak||Wtórny||||Blok Mieszkalny|YTong|2023||Co Miejskie|19.03.2024|27.03.2024|morizon-PH913396|44|0||||||||||||||
Gdańsk Wrzeszcz 3 pokoje|757 000 zł|DOBRY|60,40 m²||7/10|10||ANEKS KUCHENNY|1|||Tak||Wtórny|2023-12-01|SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC|PUSTAK|1987||C.O. Z SIECI MIEJSKIEJ|09.04.2024|09.04.2024|morizon-29696/3685/OMS|21|0||||||250 cm||||||||
Opis nieruchomości|639 900 zł||44,23 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.9|70|182|Apartamenty Diuna|||7,92 m²|63 m²|||||||||
"Słoneczne 3 pokoje z dużym ogródkiem | JASIEŃ"|765 000 zł||59,41 m²|||4|1|||||Nie||Wtórny||||Blok Mieszkalny|Pustak|2015||Co Miejskie|26.03.2024|26.03.2024|morizon-ON583946|85|0|||2|||||||||||
Mieszkanie Wrzeszcz ul. Chrobrego , 3 pok 65m|879 000 zł|Wysoki standard|65 m²|||3||Osobna|||Tak|||Wtórny|2024-04-01|Własność||Kamienica|Cegła|1960|||15.03.2024|15.03.2024|morizon-gratka-33782101|179|0||||||||||||||
Mieszkanie inwestycyjne w doskonałej lokalizacji|970 000 zł||97 m²||1/2|2||||||||Wtórny||||||1910||Gazowe|09.04.2024|09.04.2024|morizon-PH478281|18|0||||||||||||||
Wysoki standard w przystępnej cenie|999 000 zł||66,74 m²||4/5|5||||||Tak|Tak|Wtórny||||Blok Mieszkalny||2019||Co Miejskie|25.03.2024|02.04.2024|morizon-WE407253|63|0|||2|||||||||||
Kameralna Inwestycja - Zamieszkaj lub zainwestuj|1 207 605 zł||65,72 m²||1/5|5||||||Tak||Pierwotny||||Apartamentowiec||2024|||01.04.2024|09.04.2024|morizon-EC658191|20|0|||2|||||||||||
Komfortowy apartament - Zamieszkaj lub zainwestuj|1 340 042 zł||67,17 m²||5/5|5||||||Tak||Pierwotny||||Apartamentowiec||2024|||01.04.2024|01.04.2024|morizon-EC275058|28|0|||2|||||||||||
Słoneczne 3 pokoje w najnowszym etapie Garnizonu|1 415 000 zł||64,40 m²||2/5|5||||||Tak||Wtórny|2024-06-30||Na wyłączność|Apartamentowiec||2023||Co Miejskie|03.04.2024|09.04.2024|morizon-DH690870|38|0|||2|||||||||||
Wyjątkowy apartament w niezwykłej lokalizacji|1 426 216 zł||66,10 m²|62,30 m²||3||||||Tak||Pierwotny|2024-04-09|||Apartamentowiec||2022||Co Miejskie|01.04.2024|09.04.2024|morizon-DH465315|24|0||||||||||||||
Opis nieruchomości|1 613 869 zł||80,34 m²|||3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH870961|16|0||||||||||||||
Komfortowy Apartament - Prestiżowy Adres|2 048 189 zł||106,10 m²||5/6|6|1|||||||Wtórny||||Apartamentowiec||2021||Co Miejskie|29.03.2024|06.04.2024|morizon-EC882681|79|0|||3|||||||||||
Klimatyczne mieszkanie z duszą w centrum miasta|2 880 000 zł||260 m²|||1||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1920||Gazowe|02.04.2024|04.04.2024|morizon-PAN536348|55|0||||||||||||||
Nowe, gotowe do wprowadzenia|439 000 zł||28 m²||1/5|5||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2023||Co Miejskie|08.04.2024|08.04.2024|morizon-PAN441446|37|0||||||||||||||
Klimatyczne wnętrze-serce Gdańska- blisko Motławy|525 000 zł||35 m²|||2||||||||Wtórny|||Na wyłączność|Kamienica||1936||Elektryczne|03.04.2024|10.04.2024|morizon-CP411350|53|0|||2|||||||||||
Atrakcyjna oferta! Pozostaje całe wyposażenie|527 000 zł||37,87 m²||3/4|4||||||Tak||Wtórny|2024-04-07||Na wyłączność|Blok Mieszkalny||2014||Co Miejskie|08.04.2024|08.04.2024|morizon-DH973178|25|0||||||||||||||
Mieszkanie w kultowym budynku z pięknym widokiem|549 000 zł||46 m²||9/10|10||||||Tak||Wtórny|2024-04-01|||Falowiec|Wielka płyta|1973||Co Miejskie|24.03.2024|24.03.2024|morizon-502810|122|0|||1|||||||||||
2 pokojowe mieszkanie na Jasieniu 43m2|570 000 zł||43,03 m²||2/4|4||||||Tak||Wtórny||||Blok Mieszkalny|Pustak|||Co Miejskie|04.04.2024|05.04.2024|morizon-AG103081|14|0||||||||||||||
Wysoki standard w przystępnej cenie|574 000 zł||47,90 m²|||4||||||||Wtórny||||Blok Mieszkalny||2023||Co Miejskie|04.04.2024|04.04.2024|morizon-WE962437|25|0|||2|||||||||||
Gotowe do odbioru! Ustawne i jasne|591 000 zł|DO WYKOŃCZENIA|56,66 m²||4/4|4||||||||Pierwotny||WŁASNOŚĆ||NISKI BLOK||2023|||01.03.2024|01.03.2024|morizon-9040/8976/OMS|65|0||||||||||||||
2 pokoje, Niska zabudowa, Zielona okolica|599 000 zł||40 m²||1/3|3||||||Tak||Wtórny|2024-04-01|||Blok Mieszkalny||2019||Co Miejskie|22.03.2024|22.03.2024|morizon-508274|51|0|||1|||||||||||
Spółdzielczo własnościowe. 3 pokoje dla rodziny|600 000 zł||52,78 m²||3/10|10||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|1978||Co Miejskie|25.02.2024|07.03.2024|morizon-TY462676|176|0||||||||||||||
2 pokoje z dwoma tarasami i widokiem na las|619 000 zł||47,01 m²||5/5|5||||||Tak|Tak|Wtórny||||Blok Mieszkalny|Pustak|2021||Co Miejskie|08.04.2024|08.04.2024|morizon-PAN516291|14|0||||||||||||||
Ustawne 3 pokoje! Możliwość 4 pokoi! Gdańsk Chełm|635 000 zł||66,20 m²||2/3|3|1|||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny||1985||Co Miejskie|08.04.2024|08.04.2024|morizon-MG149101|27|0||||||||||||||
Zamieszkaj na nowoczesnym osiedlu City Park Zaspa|639 000 zł||34 m²||11/11|11||||||||Wtórny||||Blok Mieszkalny||2015||Co Miejskie|10.04.2024|10.04.2024|morizon-TY256616|1|0||||||||||||||
"Przestronne i jasne | Jeziorko | Duża łazienka"|650 000 zł||59,53 m²||2/3|3||||||Tak||Wtórny|2024-04-09||Na wyłączność|||2006|||10.04.2024|10.04.2024|morizon-RANDALL183559|1|0|||2|||||||||||
Dwupokojowe w cichej okolicy|657 000 zł|Wysoki standard|47,50 m²||1/3|3||Aneks|||Tak|||Wtórny|2024-03-22|Spoldzielcze-wlasnosciowe-KW||Blok|Pustak|1998|||17.03.2024|25.03.2024|morizon-gratka-33691639|156|0||||||||||||||
Komfortowa nieruchomość w centralnej dzielnicy|665 000 zł||46 m²||3/3|3||||||Tak||Wtórny||||Blok Mieszkalny|Inne|2010||Co Miejskie|30.03.2024|09.04.2024|morizon-357827|70|0||||||||||||||
2 pokoje z możliwością zrobienia 3 - do odświeżenia, idealne dla rodziny|669 000 zł|Do odświeżenia|50,50 m²||5/7|7|1|Osobna|1|3 m²|Nie|Tak|Nie|Wtórny|2024-03-28|Spółdzielcze-własnościowe||Blok|Wielka płyta|1980|Bardzo dobry|Miejskie|28.03.2024|04.04.2024|morizon-2024/GD/KK/11|77|0||||||||3 m²||Tak||||
ZAMIESZKAJ PRZY PARKU REAGANA|689 000 zł||65 m²|||10||||||||Wtórny|||Na wyłączność|Falowiec||1973||Co Miejskie|13.03.2024|13.03.2024|morizon-TY486645|240|0||||||||||||||
Gdańsk-Kokoszki, 3 pokoje + antresola i ogródek|702 500 zł||88,67 m²||1/1|1|2|||||Tak||Wtórny||||Blok Mieszkalny||2024||Gazowe|10.04.2024|10.04.2024|morizon-148452|1|0|||1|||||||||||
Mieszkanie 4 pokojowe I Wyjątkowa architektura|702 500 zł||88,72 m²||1/1|1||||||Tak||Pierwotny||||Szeregowy||2024||Co Miejskie|10.04.2024|10.04.2024|morizon-00133202|1|0|||3|||||||||||
Mieszkanie w pięknej przedwojennej kamienicy|719 000 zł||59,30 m²||1/2|2||||||||Wtórny||||Kamienica||||Gazowe|29.03.2024|29.03.2024|morizon-137614|153|0||||||||||||||
4 pokoje, do własnej aranżacji na Przymorzu|740 000 zł||62,20 m²||15/18|18||||||Tak||Wtórny|2024-04-30||Na wyłączność|Wieżowiec|Wielka płyta|||Co Miejskie|03.04.2024|04.04.2024|morizon-CP1390753|42|0||||||||||||||
